Subject,Predicate,Object
"Memorial Day","starts at","Sun May 24 17:00:00 PDT 2026"
"Memorial Day","location",""
"Mother's Day","starts at","Sat May 09 17:00:00 PDT 2026"
"Mother's Day","location",""
"Cinco de Mayo","starts at","Mon May 04 17:00:00 PDT 2026"
"Cinco de Mayo","location",""
"Tax Day","starts at","Tue Apr 14 17:00:00 PDT 2026"
"Tax Day","location",""
"Easter Monday","starts at","Sun Apr 05 17:00:00 PDT 2026"
"Easter Monday","location",""
"Easter Sunday","starts at","Sat Apr 04 17:00:00 PDT 2026"
"Easter Sunday","location",""
"St. Patrick's Day","starts at","Mon Mar 16 17:00:00 PDT 2026"
"St. Patrick's Day","location",""
"Daylight Saving Time starts","starts at","Sat Mar 07 16:00:00 PST 2026"
"Daylight Saving Time starts","location",""
"Presidents' Day","starts at","Sun Feb 15 16:00:00 PST 2026"
"Presidents' Day","location",""
"Valentine's Day","starts at","Fri Feb 13 16:00:00 PST 2026"
"Valentine's Day","location",""
"Martin Luther King Jr. Day","starts at","Sun Jan 18 16:00:00 PST 2026"
"Martin Luther King Jr. Day","location",""
"New Year's Day","starts at","Wed Dec 31 16:00:00 PST 2025"
"New Year's Day","location",""
"New Year's Eve","starts at","Tue Dec 30 16:00:00 PST 2025"
"New Year's Eve","location",""
"Christmas Day","starts at","Wed Dec 24 16:00:00 PST 2025"
"Christmas Day","location",""
"Christmas","starts at","Wed Dec 24 16:00:00 PST 2025"
"Christmas","location",""
"Christmas Eve","starts at","Tue Dec 23 16:00:00 PST 2025"
"Christmas Eve","location",""
"Monthly Review Meeting","starts at","Sat Dec 20 08:00:00 PST 2025"
"Monthly Review Meeting","location",""
"Product Demo","starts at","Tue Dec 09 09:00:00 PST 2025"
"Product Demo","location",""
"Weekly Sync-Up","starts at","Sat Dec 06 08:00:00 PST 2025"
"Weekly Sync-Up","location",""
"Monthly Review Meeting","starts at","Tue Dec 02 08:00:00 PST 2025"
"Monthly Review Meeting","location",""
"Planning Next Day","starts at","Mon Dec 01 18:00:00 PST 2025"
"Planning Next Day","location",""
"Lunch Break","starts at","Mon Dec 01 11:30:00 PST 2025"
"Lunch Break","location",""
"Breakfast","starts at","Mon Dec 01 07:00:00 PST 2025"
"Breakfast","location",""
"Black Friday","starts at","Thu Nov 27 16:00:00 PST 2025"
"Black Friday","location",""
"Thanksgiving Day","starts at","Wed Nov 26 16:00:00 PST 2025"
"Thanksgiving Day","location",""
"Design Workshop","starts at","Wed Nov 26 08:00:00 PST 2025"
"Design Workshop","location",""
"Dinner with Friends","starts at","Sun Nov 16 17:00:00 PST 2025"
"Dinner with Friends","location",""
"Veterans Day","starts at","Mon Nov 10 16:00:00 PST 2025"
"Veterans Day","location",""
"Quantum Mechanics Workshop","starts at","Sun Nov 09 13:00:00 PST 2025"
"Quantum Mechanics Workshop","location",""
"Election Day","starts at","Mon Nov 03 16:00:00 PST 2025"
"Election Day","location",""
"Daylight Saving Time ends","starts at","Sat Nov 01 17:00:00 PDT 2025"
"Daylight Saving Time ends","location",""
"Halloween","starts at","Thu Oct 30 17:00:00 PDT 2025"
"Halloween","location",""
"Client Kickoff Meeting","starts at","Tue Oct 14 10:00:00 PDT 2025"
"Client Kickoff Meeting","location",""
"Columbus Day","starts at","Sun Oct 12 17:00:00 PDT 2025"
"Columbus Day","location",""
"Product Development Meeting","starts at","Wed Oct 08 10:00:00 PDT 2025"
"Product Development Meeting","location",""
"Weekly Sync-Up","starts at","Tue Oct 07 09:00:00 PDT 2025"
"Weekly Sync-Up","location",""
"Meditation","starts at","Wed Oct 01 18:30:00 PDT 2025"
"Meditation","location",""
"Department Meeting","starts at","Thu Sep 25 10:00:00 PDT 2025"
"Department Meeting","location",""
"Client Presentation Preparation","starts at","Thu Sep 04 14:00:00 PDT 2025"
"Client Presentation Preparation","location",""
"Labor Day","starts at","Sun Aug 31 17:00:00 PDT 2025"
"Labor Day","location",""
