Name (last piece of Model URL),Model URL,Model Type,Context Window,Conversation Template,q3f16_1,q4f16_1,q4f32_1
Llama-2-7b-hf,https://huggingface.co/meta-llama/Llama-2-7b-hf,llama,4096,LM,HF://junrushao/Llama-2-7b-hf-q3f16_1-MLC,HF://junrushao/Llama-2-7b-hf-q4f16_1-MLC,HF://junrushao/Llama-2-7b-hf-q4f32_1-MLC
Llama-2-13b-hf,https://huggingface.co/meta-llama/Llama-2-13b-hf,llama,4096,LM,HF://junrushao/Llama-2-13b-hf-q3f16_1-MLC,HF://junrushao/Llama-2-13b-hf-q4f16_1-MLC,HF://junrushao/Llama-2-13b-hf-q4f32_1-MLC
Llama-2-70b-hf,https://huggingface.co/meta-llama/Llama-2-70b-hf,llama,4096,LM,HF://junrushao/Llama-2-70b-hf-q3f16_1-MLC,HF://junrushao/Llama-2-70b-hf-q4f16_1-MLC,HF://junrushao/Llama-2-70b-hf-q4f32_1-MLC
Llama-2-7b-chat-hf,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf,llama,4096,llama-2,HF://junrushao/Llama-2-7b-chat-hf-q3f16_1-MLC,HF://junrushao/Llama-2-7b-chat-hf-q4f16_1-MLC,HF://junrushao/Llama-2-7b-chat-hf-q4f32_1-MLC
Llama-2-13b-chat-hf,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,llama,4096,llama-2,HF://junrushao/Llama-2-13b-chat-hf-q3f16_1-MLC,HF://junrushao/Llama-2-13b-chat-hf-q4f16_1-MLC,HF://junrushao/Llama-2-13b-chat-hf-q4f32_1-MLC
Llama-2-70b-chat-hf,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,llama,4096,llama-2,HF://junrushao/Llama-2-70b-chat-hf-q3f16_1-MLC,HF://junrushao/Llama-2-70b-chat-hf-q4f16_1-MLC,HF://junrushao/Llama-2-70b-chat-hf-q4f32_1-MLC
CodeLlama-7b-hf,https://huggingface.co/codellama/CodeLlama-7b-hf,llama,16384,LM,HF://junrushao/CodeLlama-7b-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-7b-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-7b-hf-q4f32_1-MLC
CodeLlama-13b-hf,https://huggingface.co/codellama/CodeLlama-13b-hf,llama,16384,LM,HF://junrushao/CodeLlama-13b-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-13b-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-13b-hf-q4f32_1-MLC
CodeLlama-34b-hf,https://huggingface.co/codellama/CodeLlama-34b-hf,llama,16384,LM,HF://junrushao/CodeLlama-34b-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-34b-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-34b-hf-q4f32_1-MLC
CodeLlama-7b-Instruct-hf,https://huggingface.co/codellama/CodeLlama-7b-Instruct-hf,llama,16384,codellama_instruct,HF://junrushao/CodeLlama-7b-Instruct-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-7b-Instruct-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-7b-Instruct-hf-q4f32_1-MLC
CodeLlama-13b-Instruct-hf,https://huggingface.co/codellama/CodeLlama-13b-Instruct-hf,llama,16384,codellama_instruct,HF://junrushao/CodeLlama-13b-Instruct-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-13b-Instruct-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-13b-Instruct-hf-q4f32_1-MLC
CodeLlama-34b-Instruct-hf,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf,llama,16384,codellama_instruct,HF://junrushao/CodeLlama-34b-Instruct-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-34b-Instruct-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-34b-Instruct-hf-q4f32_1-MLC
CodeLlama-7b-Python-hf,https://huggingface.co/codellama/CodeLlama-7b-Python-hf,llama,16384,codellama_instruct,HF://junrushao/CodeLlama-7b-Python-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-7b-Python-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-7b-Python-hf-q4f32_1-MLC
CodeLlama-13b-Python-hf,https://huggingface.co/codellama/CodeLlama-13b-Python-hf,llama,16384,codellama_instruct,HF://junrushao/CodeLlama-13b-Python-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-13b-Python-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-13b-Python-hf-q4f32_1-MLC
CodeLlama-34b-Python-hf,https://huggingface.co/codellama/CodeLlama-34b-Python-hf,llama,16384,codellama_instruct,HF://junrushao/CodeLlama-34b-Python-hf-q3f16_1-MLC,HF://junrushao/CodeLlama-34b-Python-hf-q4f16_1-MLC,HF://junrushao/CodeLlama-34b-Python-hf-q4f32_1-MLC
Mistral-7B-Instruct-v0.2,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,mistral,32768,mistral_default,HF://junrushao/Mistral-7B-Instruct-v0.2-q3f16_1-MLC,HF://junrushao/Mistral-7B-Instruct-v0.2-q4f16_1-MLC,HF://junrushao/Mistral-7B-Instruct-v0.2-q4f32_1-MLC
NeuralHermes-2.5-Mistral-7B,https://huggingface.co/mlabonne/NeuralHermes-2.5-Mistral-7B,mistral,32768,neural_hermes_mistral,HF://junrushao/NeuralHermes-2.5-Mistral-7B-q3f16_1-MLC,HF://junrushao/NeuralHermes-2.5-Mistral-7B-q4f16_1-MLC,HF://junrushao/NeuralHermes-2.5-Mistral-7B-q4f32_1-MLC
OpenHermes-2-Mistral-7B,https://huggingface.co/teknium/OpenHermes-2-Mistral-7B,mistral,32768,open_hermes_mistral,HF://junrushao/OpenHermes-2-Mistral-7B-q3f16_1-MLC,HF://junrushao/OpenHermes-2-Mistral-7B-q4f16_1-MLC,HF://junrushao/OpenHermes-2-Mistral-7B-q4f32_1-MLC
RedPajama-INCITE-Chat-3B-v1,https://huggingface.co/togethercomputer/RedPajama-INCITE-Chat-3B-v1,gpt_neox,2048,redpajama_chat,HF://junrushao/RedPajama-INCITE-Chat-3B-v1-q3f16_1-MLC,HF://junrushao/RedPajama-INCITE-Chat-3B-v1-q4f16_1-MLC,HF://junrushao/RedPajama-INCITE-Chat-3B-v1-q4f32_1-MLC
